filename,instrument,instrument_family,instrument_source,audio_source
guitar_electronic_017-108-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-041-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-106-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-107-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-062-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-073-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-072-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-081-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-053-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-100-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-050-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-038-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-064-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-033-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-072-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-067-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-026-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-056-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-087-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-094-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-095-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-034-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-067-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-042-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-097-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-023-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-098-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-036-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-041-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-064-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-041-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-049-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-066-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-040-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-038-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-105-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-085-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-069-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-105-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-071-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-039-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-089-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-049-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-108-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-050-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-046-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-028-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-042-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-096-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-052-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-030-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-053-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-082-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-085-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-027-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-023-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-024-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-033-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-103-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-062-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-028-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-086-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-076-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-059-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-066-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-064-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-083-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-094-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-076-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-043-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-080-100,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-036-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-045-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-027-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-094-127,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-068-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-093-075,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-056-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-063-050,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-035-025,guitar_electronic_017,guitar,electronic,nsynth-train
guitar_electronic_017-042-050,guitar_electronic_017,guitar,electronic,nsynth-train
